path,prompt,short_prompt,labels,image_1_caption,image_2_caption,image_3_caption,resolution,aspect_ratio,fps,duration
clips/1500.mp4,"Animals: lizard, dinosaur. Objects: finger, figurine. Actions: resting, facing each other. Emotions: serene, curiosity. Scenes: close-up, nature, interaction. Concepts: detail, focus, miniature, playful","Animals: lizard, dinosaur. Objects: finger, figurine. Actions: resting, facing each other. Emotions:...","lizard, dinosaur, finger, figurine, resting, facing each other, serene, curiosity, close-up, nature, interaction, detail, focus, miniature, playful","A tiny, intricately detailed lizard sits perched on the tip of a human finger, showcasing its textured skin and delicate claws. The lizard's eyes are partially closed, giving it a relaxed and serene expression. The background is softly blurred, highlighting the lizard as the focal point of the image.","Two small, detailed dinosaur figurines are perched on a human finger, facing each other with curious expressions. The dark background contrasts with the vibrant textures and colors of the dinosaurs, highlighting their intricate designs.",,1080x1920,9:16,30.0,5s
clips/1501.mp4,"People: eye, eyelashes. Objects: lightning pattern, lightning, energy. Emotions: intensity. Scenes: close-up. Concepts: electricity, energy, power","People: eye, eyelashes. Objects: lightning pattern, lightning, energy. Emotions: intensity. Scenes: ...","eye, eyelashes, lightning pattern, lightning, energy, intensity, close-up, electricity, energy, power","A close-up of a human eye with a striking electric blue iris, featuring lightning-like patterns radiating from the pupil. The intricate details of the eyelashes and skin texture are vividly captured, creating a surreal and electrifying visual effect.","A close-up of an eye with vibrant blue lightning-like energy radiating from the pupil. The surrounding skin and eyelashes are visible, highlighting the intense focus on the eye's dynamic energy.",,1088x1888,34:59,30.0,5s
clips/1502.mp4,"People: child. Objects: cleaning machine, skyscraper, carpet, Persian rug. Nature: desert, sand dunes. Actions: riding, cleaning, sitting. Emotions: joyful, playful, whimsical. Scenes: surreal, fantastical, desert, urban, fantasy. Concepts: imagination, whimsy, surreal, fantasy, adventure","People: child. Objects: cleaning machine, skyscraper, carpet, Persian rug. Nature: desert, sand dune...","child, cleaning machine, skyscraper, carpet, Persian rug, desert, sand dunes, riding, cleaning, sitting, joyful, playful, whimsical, surreal, fantastical, desert, urban, fantasy, imagination, whimsy, surreal, fantasy, adventure",A child is joyfully riding a circular cleaning machine on a vibrant Persian rug that extends towards a towering skyscraper. The scene is set in a surreal desert landscape with sand dunes and a clear blue sky.,"A child in an orange outfit sits on a rotating cleaning machine, which is moving along an ornate carpet. The scene is set against a surreal backdrop of a vast desert landscape with a towering skyscraper in the distance.","A child rides a large cleaning machine over a long, ornate carpet that stretches towards a towering skyscraper in the distance. The scene is set in a surreal desert landscape with sand dunes and a clear blue sky.",1080x1920,9:16,30.0,10s
clips/1503.mp4,"People: crowd, tourists. Objects: knitted bunny, basket, Easter eggs, eggs. Actions: gathering, photographing, observing. Emotions: joy, wonder. Scenes: public square, cathedral. Concepts: festivity, art installation","People: crowd, tourists. Objects: knitted bunny, basket, Easter eggs, eggs. Actions: gathering, phot...","crowd, tourists, knitted bunny, basket, Easter eggs, eggs, gathering, photographing, observing, joy, wonder, public square, cathedral, festivity, art installation","A giant, colorful knitted bunny stands in front of a historic cathedral, holding a basket filled with vibrant Easter eggs. The scene is bustling with people who are gathered around, taking photos and enjoying the festive atmosphere. The bright blue sky and intricate architecture provide a stunning backdrop to this whimsical display.","A giant, colorful knitted bunny stands prominently in front of a historic cathedral, holding a basket filled with vibrant, multicolored eggs. The scene is bustling with people gathered around, capturing the whimsical display against a bright blue sky.",,1080x1920,9:16,30.0,5s
clips/1504.mp4,"Nature: tree, butterflies. Objects: stars, cosmic background. Actions: fluttering, flying, emerging. Emotions: wonder, fantasy, enchantment. Scenes: magical, ethereal, cosmic. Concepts: transformation, beauty, surrealism, fantasy","Nature: tree, butterflies. Objects: stars, cosmic background. Actions: fluttering, flying, emerging....","tree, butterflies, stars, cosmic background, fluttering, flying, emerging, wonder, fantasy, enchantment, magical, ethereal, cosmic, transformation, beauty, surrealism, fantasy","A magical scene depicts a tree made of golden butterflies, set against a cosmic backdrop. The butterflies appear to be in motion, fluttering around the twisted branches of the tree. The vibrant colors and ethereal setting create a sense of wonder and fantasy.","A mystical tree with golden butterflies fluttering around it stands against a cosmic backdrop. The butterflies appear to be emerging from the tree, creating a magical and enchanting scene. The night sky is filled with stars, adding to the dreamlike atmosphere.",,1080x1920,9:16,30.0,5s
clips/1505.mp4,"People: girl. Animals: dog, small animal. Objects: curtains, rug, dresser, school uniform, plant. Actions: standing, smiling, sitting. Emotions: happiness, serenity, playful, whimsical. Scenes: indoor, bedroom, domestic, cozy room. Concepts: coziness, anime style, warmth, comfort","People: girl. Animals: dog, small animal. Objects: curtains, rug, dresser, school uniform, plant. Ac...","girl, dog, small animal, curtains, rug, dresser, school uniform, plant, standing, smiling, sitting, happiness, serenity, playful, whimsical, indoor, bedroom, domestic, cozy room, coziness, anime style, warmth, comfort","A young girl with long white hair and fox-like ears stands in a warmly lit room, smiling gently. She wears a pink and blue school uniform, and a small, cheerful dog sits beside her. The room is decorated with floral wallpaper and soft furnishings, creating a cozy atmosphere.","A young girl with animal-like ears and a tail stands in a warmly lit room, wearing a sailor-style outfit. Beside her, a small, cute animal with similar features sits on a fluffy rug. The room is decorated with floral wallpaper, a wooden dresser, and soft curtains framing a sunlit window.",,1088x1888,34:59,30.0,5s
clips/1506.mp4,"People: child. Animals: tiger cub. Objects: runway, clothing, phones, camera phones. Actions: walking, photographing. Emotions: excitement, joy, curiosity. Scenes: fashion show, runway. Concepts: innocence, adventure, fashion, spectacle","People: child. Animals: tiger cub. Objects: runway, clothing, phones, camera phones. Actions: walkin...","child, tiger cub, runway, clothing, phones, camera phones, walking, photographing, excitement, joy, curiosity, fashion show, runway, innocence, adventure, fashion, spectacle",A young child in a white outfit walks confidently down a runway alongside a white tiger cub. The scene is vibrant with colorful lights and an enthusiastic audience capturing the moment on their phones.,"A young child in a white outfit confidently walks down a runway alongside a white tiger cub. The scene is lively, with an audience capturing the moment with their phones, creating a vibrant and dynamic atmosphere.",,704x1248,22:39,30.0,5s
clips/1507.mp4,"Animals: tiger cub, penguin chick, penguin, tiger. Nature: snow, mountains. Objects: sand. Actions: cuddling, interaction, gazing. Emotions: affection, serenity, curiosity, playfulness. Scenes: winter landscape, snowy landscape, wildlife interaction. Concepts: friendship, innocence, imagination","Animals: tiger cub, penguin chick, penguin, tiger. Nature: snow, mountains. Objects: sand. Actions: ...","tiger cub, penguin chick, penguin, tiger, snow, mountains, sand, cuddling, interaction, gazing, affection, serenity, curiosity, playfulness, winter landscape, snowy landscape, wildlife interaction, friendship, innocence, imagination","A baby tiger and a penguin chick cuddle together on a snowy landscape. The tiger's fur is vibrant with orange and black stripes, while the penguin's soft feathers are a mix of gray and white. The scene is serene and heartwarming, set against a backdrop of snow-covered mountains.","A young penguin and a tiger cub are playfully interacting on a snowy landscape. The tiger cub gazes curiously at the penguin, creating a heartwarming scene of unlikely companionship.",,1080x1920,9:16,30.0,5s
clips/1508.mp4,"People: superhero1, superhero2, superhero, woman. Objects: costume, mask, utility belt, armor, cape. Actions: standing, holding. Emotions: determined, confident, mysterious. Scenes: dramatic, urban, night. Concepts: heroism, vigilantism, mystery","People: superhero1, superhero2, superhero, woman. Objects: costume, mask, utility belt, armor, cape....","superhero1, superhero2, superhero, woman, costume, mask, utility belt, armor, cape, standing, holding, determined, confident, mysterious, dramatic, urban, night, heroism, vigilantism, mystery","Two superhero figures stand side by side, clad in dark, form-fitting costumes. The figure on the left wears a bat-themed suit with a prominent symbol on the chest, while the figure on the right has long white hair and a mask covering the eyes.","A superhero in a dark, armored suit stands confidently, holding a woman with long white hair. The scene is set in a dimly lit, misty environment, suggesting a mysterious or dramatic moment.",,1080x1920,9:16,30.0,5s
clips/1509.mp4,"People: man, person. Nature: snow. Objects: hoodie. Actions: standing. Emotions: calm, contemplative. Scenes: outdoor, winter. Concepts: winter clothing, casual attire, solitude, serenity","People: man, person. Nature: snow. Objects: hoodie. Actions: standing. Emotions: calm, contemplative...","man, person, snow, hoodie, standing, calm, contemplative, outdoor, winter, winter clothing, casual attire, solitude, serenity","A man stands in a snowy setting, wearing a dark hoodie with colorful text. Snowflakes gently fall around him, creating a serene winter atmosphere.","A man stands outdoors wearing a dark hoodie with colorful graffiti-style text. Snowflakes gently fall around him, creating a serene winter atmosphere.","A person stands outdoors in a snowy setting, wearing a dark hoodie with colorful text. Snowflakes are gently falling around them, creating a serene winter atmosphere.",1080x1920,9:16,30.0,10s
