path,prompt,short_prompt,labels,image_1_caption,image_2_caption,image_3_caption,resolution,aspect_ratio,fps,duration
clips/1.mp4,,,"child, rooster, garden, vegetables, trees, sky, farm, house, fence, farmhouse, vegetables, riding, smiling, joyful, cheerful, farm, countryside, outdoors, playfulness, whimsy, adventure","A cheerful child is joyfully riding a large, colorful rooster through a vibrant garden. The scene is set in a sunny countryside with a quaint house in the background. Lush green vegetables and a wooden fence add to the idyllic rural setting.","A cheerful child rides on the back of a large, colorful rooster in a sunny farm setting. The child is smiling broadly, enjoying the playful moment. The scene is vibrant and lively, with a quaint farmhouse and lush garden in the background.",,1152x1760,36:55,30.0,5s
clips/2.mp4,,,"woman, person, orb, cloak, pendant, necklace, conjuring, extending hand, holding, casting, intensity, focus, mystical, intense, magical, mystical, fantasy, magic, magic, power, mysticism, energy","A young woman with striking blue eyes extends her hand forward, conjuring a glowing orb surrounded by swirling water. Her intense gaze is framed by long, dark hair, and she wears a dark cloak with a pendant around her neck. The scene is mystical, with an ethereal light illuminating the orb and water.","A mysterious figure with striking blue eyes extends their hand forward, holding a glowing orb surrounded by ethereal, swirling energy. The scene is set against a dark background, enhancing the mystical atmosphere.",,720x1280,9:16,30.0,5s
clips/3.mp4,,,"woman, sunglasses, statue, handbag, posing, confidence, confident, outdoor, landmark, tourist location, fashion, tourism, travel, sightseeing, sky, cloud","A woman with pink hair and sunglasses poses confidently in front of a large statue with outstretched arms. The bright blue sky and sunlight create a vibrant backdrop, highlighting her stylish outfit and accessories.",A woman with pink hair and sunglasses poses confidently in front of a large statue with outstretched arms. The bright blue sky and sunlight create a vibrant and lively atmosphere.,,1152x1760,36:55,30.0,5s
clips/4.mp4,,,"dolphins, ocean, water, sunlight, coral, rocks, camera, swimming, posing, playful, joyful, curious, underwater, marine life, interaction, playfulness, marine life","A group of dolphins swims playfully underwater, with one dolphin prominently in the foreground appearing to take a selfie. The clear turquoise water and sunlit surface create a vibrant and lively scene.","A group of dolphins swim playfully underwater, appearing to pose for a selfie. The clear blue water and sunlight create a vibrant and lively atmosphere, highlighting their smooth skin and curious expressions.",,1088x1856,17:29,30.0,5s
clips/5.mp4,,,"man, dog, golden retriever, shirt, pants, collar, belt, shoes, happiness, friendliness, portrait, illustration, cartoon, companionship, joy, communication, smiling, gesturing","A cheerful man stands beside a happy golden retriever, both exuding warmth and friendliness. The man is dressed casually in a light blue shirt and brown pants, while the dog wears a blue collar.","A cheerful man stands with a friendly golden retriever by his side. The man is smiling widely and gesturing with one finger raised, as if making a point or sharing an idea.",,704x1248,22:39,30.0,5s
clips/6.mp4,,,"woman, ocean, waves, lightning, sky, clouds, dress, standing, calm, resilient, serene, contemplative, stormy ocean, stormy seascape, tranquility, contrast, solitude, nature's power","A woman in a flowing dress stands gracefully in the ocean as waves crash around her. The sky is stormy, with lightning illuminating the clouds above, creating a dramatic backdrop.","A woman in a flowing dress stands in the ocean as waves crash around her. The sky is stormy with lightning illuminating the clouds, creating a dramatic and ethereal atmosphere.",,768x1152,2:3,30.0,5s
clips/7.mp4,"People: warrior. Nature: forest, autumn leaves. Objects: armor, sword. Actions: walking, standing. Emotions: confidence, intensity. Scenes: fantasy, mystical. Concepts: magic, supernatural, battle readiness","People: warrior. Nature: forest, autumn leaves. Objects: armor, sword. Actions: walking, standing. E...","warrior, autumn leaves, forest, trees, armor, sword, walking, standing, holding, determination, determined, fantasy, magical, magic, adventure, mystical, heroic","A warrior clad in ornate armor strides confidently through an enchanted forest, surrounded by swirling blue energy. The autumnal trees with vibrant red leaves create a mystical backdrop, enhancing the magical atmosphere of the scene.","A warrior clad in ornate armor stands amidst swirling blue energy, holding a sword. Behind him, vibrant autumn foliage creates a striking backdrop.",,720x1280,9:16,30.0,5s
clips/8.mp4,"People: person, face, woman. Objects: hair, fingers, buildings, skyscrapers. Emotions: calm, introspective, confidence. Scenes: portrait, urban, city street. Concepts: beauty, expression, fashion, urban life. Actions: standing","People: person, face, woman. Objects: hair, fingers, buildings, skyscrapers. Emotions: calm, introsp...","person, face, woman, pedestrians, lipstick, buildings, street, gazing, touching chin, walking, contemplative, confidence, portrait, urban, cityscape, beauty, intensity, fashion, city life","A close-up portrait of a person with striking red hair and blue eyes, gazing intently at the camera. The individual's face is adorned with freckles, and their lips are painted a bold red. Their hand is gently touching their chin, adding a contemplative element to the image.","A woman with striking red hair stands confidently in an urban setting, with a cityscape featuring tall buildings in the background. She gazes directly at the camera, creating a captivating focal point amidst the bustling street scene.",,1216x1632,38:51,30.0,5s
clips/9.mp4,"Objects: glass globe, music box, musical notes, glass orb, ornate base. Actions: floating, dancing. Emotions: enchantment, wonder. Scenes: fantasy, magical. Concepts: magic, fairy tale, mystical. People: fairy","Objects: glass globe, music box, musical notes, glass orb, ornate base. Actions: floating, dancing. ...","fairy, glass globe, music box, glass orb, ornate base, floating, glowing, dancing, enchantment, wonder, magical, fantasy, magic, music, fantasy, enchantment","A delicate fairy with shimmering wings is encased in a glass globe, standing atop an ornate music box. Golden musical notes float around her, creating a magical and enchanting atmosphere.","A delicate fairy with shimmering wings dances gracefully inside a glass orb, surrounded by floating golden particles. The orb rests on an ornate, antique-looking base, creating a magical and enchanting scene.",,1080x1920,9:16,30.0,5s
clips/10.mp4,"People: child, boy. Animals: Pegasus, bird. Nature: mountains, sky, clouds. Objects: jacket, shoes. Actions: riding, flying. Emotions: joy, excitement. Scenes: fantasy, aerial, adventure. Concepts: mythology, adventure, imagination, magic","People: child, boy. Animals: Pegasus, bird. Nature: mountains, sky, clouds. Objects: jacket, shoes. ...","child, boy, Pegasus, bird, mountains, sky, clouds, jacket, tower, riding, flying, joy, fantasy, aerial, adventure, adventure, freedom, mythology, magic","A young boy joyfully rides a majestic white Pegasus through the sky. The scene is set against a backdrop of towering mountains and a clear blue sky, with a bird soaring nearby.","A child joyfully rides a majestic white Pegasus soaring through the sky. The scene is set against a backdrop of towering mountains and fluffy clouds, with a bird gliding nearby.","A young child joyfully rides a majestic white Pegasus through a sky filled with fluffy clouds. The scene is set against a backdrop of distant mountains and a towering structure, evoking a sense of adventure and wonder.",1080x1920,9:16,30.0,10s
