path,prompt,short_prompt,aspect_ratio,resolution,fps,duration,labels,image_1_caption,image_2_caption,image_3_caption
clips/not_filtered/Model walking.mp4,"People: model. Objects: dress, runway. Actions: walking. Emotions: confidence. Scenes: fashion show. Concepts: fashion, design, style","People: model. Objects: dress, runway. Actions: walking. Emotions: confidence. Scenes: fashion show....",,,,,"model, dress, runway, walking, confidence, fashion show, fashion, design, style","A model walks confidently down the runway wearing a geometric-patterned dress with a high-low hemline. The setting is a fashion show, with the model showcasing a modern and artistic design. The lighting highlights the dress's intricate patterns and the model's poised demeanor.","A model confidently walks down the runway wearing a stylish, geometric-patterned dress. The dress features a high-low hemline with bold black, white, and red accents. The setting is a fashion show with a focused spotlight on the model.",
clips/not_filtered/APowerfulAndEmotionalScene.mp4,"People: man. Animals: snow leopard. Nature: snow, trees, forest. Objects: winter coat, hat. Actions: walking. Emotions: serenity, calm. Scenes: winter landscape. Concepts: companionship, nature, human-animal interaction","People: man. Animals: snow leopard. Nature: snow, trees, forest. Objects: winter coat, hat. Actions:...",,,,,"man, snow leopard, snow, trees, forest, winter coat, hat, walking, serenity, calm, winter landscape, companionship, nature, human-animal interaction","A majestic snow leopard with striking blue eyes walks confidently through a snowy landscape, accompanied by a man in a winter coat. The scene is serene, with snow gently falling around them.","A majestic snow leopard with striking blue eyes walks confidently through a snowy landscape. Behind it, a man in a winter coat and hat follows, creating a harmonious scene of human and nature coexisting.",
clips/not_filtered/AYoungSorceressInA.mp4,"People: young woman. Objects: cauldron, parchment, candle, potion bottles, shelves. Actions: reading, mixing ingredients, adding ingredients. Emotions: focused, serene. Scenes: alchemy room, magical ritual, magical setting, medieval room. Concepts: magic, potion making, potion-making, fantasy","People: young woman. Objects: cauldron, parchment, candle, potion bottles, shelves. Actions: reading...",,,,,"young woman, cauldron, parchment, candle, potion bottles, shelves, reading, mixing ingredients, adding ingredients, focused, serene, alchemy room, magical ritual, magical setting, medieval room, magic, potion making, potion-making, fantasy","A young woman with braided hair is engrossed in a magical ritual, carefully adding ingredients to a bubbling cauldron. The scene is set in a dimly lit room filled with shelves of potion bottles and a glowing candle, casting a warm glow. Her expression is focused and serene as she follows instructions from a parchment.","A young woman with braided hair is carefully adding ingredients to a bubbling cauldron, surrounded by an array of potion bottles and a softly glowing candle. She is dressed in a detailed purple robe, and her expression is focused as she reads from a parchment. The scene is set in a dimly lit room with a stained glass window, adding a mystical ambiance.",
clips/not_filtered/famille labra.mp4,"Animals: puppy, dogs, dog, Labrador, golden retriever. Emotions: affection, comfort, serenity. Scenes: intimate, familial, domestic, cozy, intimate setting. Objects: blanket, fabric. Concepts: companionship, family, warmth, comfort. Actions: snuggling, cuddling, lying","Animals: puppy, dogs, dog, Labrador, golden retriever. Emotions: affection, comfort, serenity. Scene...",,,,,"puppy, dogs, dog, Labrador, golden retriever, affection, comfort, serenity, intimate, familial, domestic, cozy, intimate setting, blanket, fabric, companionship, family, warmth, comfort, snuggling, cuddling, lying","A heartwarming scene features three dogs closely cuddled together, exuding warmth and affection. The black dog gently rests its head on the golden retriever, while the puppy nestles comfortably between them.","A heartwarming scene of three dogs snuggling together on a soft surface. The group consists of a black dog, a golden dog, and a puppy nestled between them, showcasing a sense of family and affection.","A tender moment is captured between three dogs, a black Labrador, a golden retriever, and a puppy nestled between them. The dogs are lying close together on a soft, draped fabric, exuding warmth and affection. Their gentle interaction suggests a familial bond and a serene atmosphere."
clips/not_filtered/Luna :-).mp4,"Animals: fantasy creature, creature, mouse-like creature. Nature: flower. Objects: finger. Actions: gazing. Emotions: curiosity, wonder. Scenes: fantasy, magical. Concepts: enchantment, magic, interaction, luminescence","Animals: fantasy creature, creature, mouse-like creature. Nature: flower. Objects: finger. Actions: ...",,,,,"fantasy creature, creature, mouse-like creature, flower, finger, gazing, curiosity, wonder, fantasy, magical, enchantment, magic, interaction, luminescence","A tiny, sparkling creature with a vibrant red hue sits delicately on a fingertip, gazing curiously at a glowing blue flower. The creature's body shimmers with light, creating a magical and enchanting scene. The background is softly blurred, enhancing the focus on the interaction between the creature and the flower.","A small, glowing creature with sparkling red skin sits on a human finger, gazing intently at a luminescent blue flower. The scene is set against a dark, blurred background, highlighting the vibrant colors of the creature and flower.","A tiny, sparkling creature resembling a mouse sits on a fingertip, gazing intently at a glowing blue flower. The scene is illuminated by the soft, ethereal light emanating from the flower, casting a magical glow over the creature's glittering fur."
clips/not_filtered/orange lips.mp4,"Objects: orange, lips, teeth, fruit. Concepts: surrealism, creativity, fusion. Emotions: playful, imaginative, intriguing. Scenes: abstract, artistic, studio","Objects: orange, lips, teeth, fruit. Concepts: surrealism, creativity, fusion. Emotions: playful, im...",,,,,"orange, lips, teeth, fruit, surrealism, creativity, fusion, playful, imaginative, intriguing, abstract, artistic, studio","A surreal image depicts a pair of lips made from a juicy orange slice, complete with realistic teeth. The lips are glossy and vibrant, resembling a fresh citrus fruit.","A surreal image depicts a pair of glossy, orange lips resembling a slice of citrus fruit. The lips are detailed with a realistic texture, mimicking the appearance of an orange peel and pulp.",
clips/not_filtered/junk food.mp4,"People: creatures. Animals: fantasy creatures. Nature: forest, trees, flowers, grass, greenery. Objects: cloaks, sled, bag, sandwich, leafy headpieces. Actions: standing, exploring. Emotions: curiosity, wonder. Scenes: fantasy, nature, forest clearing, forest. Concepts: whimsy, magic, fantasy, nature, enchantment","People: creatures. Animals: fantasy creatures. Nature: forest, trees, flowers, grass, greenery. Obje...",,,,,"creatures, fantasy creatures, forest, trees, flowers, grass, greenery, cloaks, sled, bag, sandwich, leafy headpieces, standing, exploring, curiosity, wonder, fantasy, nature, forest clearing, forest, whimsy, magic, fantasy, nature, enchantment","Two small, whimsical creatures with large eyes and pointed ears stand in a lush, sunlit forest. They are adorned with green foliage on their heads and wear earthy-toned cloaks. Sunbeams filter through the trees, casting a magical glow over the vibrant flowers and greenery around them.","Two adorable, small creatures with large eyes and big ears stand in a sunlit forest clearing. They are dressed in earthy-toned clothing and adorned with leafy crowns, surrounded by vibrant flowers and greenery. A red sled with a white bag and a sandwich is placed on the grass in front of them.","Two small, whimsical creatures with large eyes and oversized ears stand on a sunlit forest floor. They are adorned with leafy headpieces and cloaks, surrounded by vibrant flowers and lush greenery. Sunbeams filter through the trees, creating a magical atmosphere."
clips/not_filtered/ADramaticCinematicAnimationSet.mp4,"Animals: anthropomorphic cat, black cat, cat, kitten. Objects: kimono, lantern, martial arts outfit, Japanese room, warrior outfit. Actions: holding, standing, sitting, handing. Emotions: calm, serene, tenderness, serenity. Scenes: indoor, traditional Japanese, traditional room. Concepts: anthropomorphism, harmony, companionship, caring. People: anthropomorphic cats","Animals: anthropomorphic cat, black cat, cat, kitten. Objects: kimono, lantern, martial arts outfit,...",,,,,"anthropomorphic cat, black cat, cat, kitten, kimono, lantern, martial arts outfit, Japanese room, warrior outfit, holding, standing, sitting, handing, calm, serene, tenderness, serenity, indoor, traditional Japanese, traditional room, anthropomorphism, harmony, companionship, caring, anthropomorphic cats","In a traditional Japanese-style room, two anthropomorphic white cats are depicted. One cat stands in a martial arts outfit, while the other sits gracefully in a kimono, holding a small black cat.","In a dimly lit room, two anthropomorphic cats are engaged in a tender moment. The standing cat, dressed in a traditional warrior outfit, gently hands a small black kitten to the seated cat, who is wearing a pink kimono. The scene is illuminated by a warm lantern, casting a serene glow over the interaction.",
clips/not_filtered/機器人跟著我往右邊走去.mp4,"People: man. Objects: robot, buildings, neon signs, exosuit, armor. Actions: walking, standing. Emotions: confident, intense, focused. Scenes: futuristic city, urban street, urban, futuristic. Concepts: technology, future, urban life, cybernetic","People: man. Objects: robot, buildings, neon signs, exosuit, armor. Actions: walking, standing. Emot...",,,,,"man, robot, buildings, neon signs, exosuit, armor, walking, standing, confident, intense, focused, futuristic city, urban street, urban, futuristic, technology, future, urban life, cybernetic",A man walks confidently down a futuristic city street with a large robot following closely behind. The scene is set in a misty urban environment with neon lights and towering buildings.,"A futuristic armored figure stands in a dimly lit urban environment. The figure is clad in a high-tech exosuit with glowing accents, suggesting advanced technology.",
clips/not_filtered/Radiant Harmony AI Dancing.mp4,"People: dancer. Animals: swan. Nature: abstract background. Actions: dancing, merging, leaping. Emotions: graceful, harmonious, dreamlike. Scenes: surreal, artistic, fantasy. Concepts: transformation, unity, fusion, artistic expression","People: dancer. Animals: swan. Nature: abstract background. Actions: dancing, merging, leaping. Emot...",,,,,"dancer, swan, abstract background, dancing, merging, leaping, graceful, harmonious, dreamlike, surreal, artistic, fantasy, transformation, unity, fusion, artistic expression","A graceful figure, resembling a dancer, is intertwined with the image of a swan, creating a harmonious blend of human and nature. The scene is painted with vibrant blues, pinks, and whites, evoking a sense of fluidity and movement.","A graceful dancer is captured mid-leap, seamlessly blending with the ethereal form of a swan. The vibrant background swirls with shades of purple and pink, enhancing the dreamlike quality of the scene.",
