path,prompt,short_prompt,aspect_ratio,resolution,fps,duration,labels
clips/White roses and pretty lady.mp4,She takes a pleasant stroll through the breezy white rose garden.,She takes a pleasant stroll through the breezy white rose garden.,9:16,1080x1920,30.0,10s,"stroll, white, garden"
clips/Korean Figther.mp4,"A powerful and determined male MMA fighter stands in the octagon, his muscular and tattooed physique glistening with sweat. He has a dragon tattoo across his chest, symbolizing strength and resilience. He exudes intensity and focus, with his bearded face and fierce expression capturing the warrior spirit. The fighter wears black and green fight shorts, with clenched gloved fists by his sides, ready for action. The arena’s dim lighting and the blurred background audience emphasize the fighter as the center of attention, creating a dramatic scene of raw energy and unwavering determination.","A powerful and determined male MMA fighter stands in the octagon, his muscular and tattooed physique glistening with sweat. He has a dragon tattoo across his chest, symbolizing strength and resilience. He exudes intensity and...",9:16,720x1280,30.0,5s,"mma, fighter, octagon, physique, glistening, sweat, dragon, chest"
clips/Giant banana tart.mp4,"""A whimsical miniature world where tiny workers in yellow helmets and overalls are busily constructing a delicious banana tart. The scene unfolds like a bustling construction site—one worker climbs a ladder to place a fresh banana slice on top of a powdered sugar mountain, while others carry baskets filled with zesty banana chunks. Some workers shovel powdered sugar as if it were snow, while others carefully arrange banana pieces around the tart. The golden sunlight streams in, casting a warm glow over the scene, enhancing the rich textures of the pastry crust and the glossy banana in the background.the camera rotates around the subject","""A whimsical miniature world where tiny workers in yellow helmets and overalls are busily constructing a delicious banana tart. The scene unfolds like a bustling construction site—one worker climbs a ladder to place a fresh...",33:59,1056x1888,30.0,5s,"world, worker, helmet, overall, banana, tart, scene, construction"
clips/Create a video of a model wearin.mp4,"Generate a fashion model video from a mannequin image.The model is a Vietnamese woman with a fully visible face, arms, and legs, matching the previous video.She walks gracefully in front of a luxurious hotel entrance, with natural lighting highlighting her facial features.As she moves, her right hand gently runs through her hair, exuding confidence and elegance.Her hands are empty—she is not holding a bag or any other object.Keep the original t-shirt, skirt, and all accessories exactly as in the reference image.Maintain the fabric texture, colors, and fit accurately, ensuring natural body movement without distorting the outfit.","Generate a fashion model video from a mannequin image.The model is a Vietnamese woman with a fully visible face, arms, and legs, matching the previous video.She walks gracefully in front of a luxurious hotel entrance,...",9:16,720x1280,30.0,10s,"fashion, model, video, image, woman, face, arm, leg"
clips/pink bikini.mp4,"Her body rocks back and forth from left to right with a lively, energetic motion.","Her body rocks back and forth from left to right with a lively, energetic motion.",25:34,800x1088,30.0,5s,"body, right, motion"
clips/Elegance.mp4,"A stunning, confident woman walks like a runway model, flanked by majestic wolves moving in perfect sync. Her flowing outfit sways with each step, exuding elegance and power. The background is cinematic and moody—misty twilight forest, icy tundra, or a neon-lit futuristic city. Fog drifts, embers flicker, or soft snow falls, enhancing the mystical atmosphere. The camera captures a low-angle tracking shot with slow-motion highlights, dramatic lighting accentuating her form and the wolves' silhouettes, creating a breathtaking fusion of grace and primal dominance.","A stunning, confident woman walks like a runway model, flanked by majestic wolves moving in perfect sync. Her flowing outfit sways with each step, exuding elegance and power. The background is cinematic and moody—misty twilight...",9:16,1080x1920,30.0,10s,"woman, runway, model, wolf, sync, outfit, sway, step"
clips/plays the electric guitar.mp4,plays the electric guitar,plays the electric guitar,16:31,1024x1984,30.0,5s,guitar
clips/Noble Vampress.mp4,"[Style] Ultra-high definition, vibrant and crystal-clear visuals. Cinematic masterpiece with impeccable detail in every frame. Perfectly smooth motion, flowing with seamless transitions. Rich and vivid colors, beautifully balanced for an immersive experience. Flawless lighting that enhances every texture and surface. Bright and sharp visuals, maintaining perfect focus throughout. Elegant camera movements, smooth and stable tracking shots. Ultra-realistic depth of field with stunning background separation. High-quality, natural skin tones, radiant and well-balanced. Cinematic slow motion with perfect fluidity and no jitter. Impeccable exposure with a perfect balance of highlights and shadows. Gorgeous bokeh effect with silky smooth focus transitions. Vibrant color grading that enhances every scene beautifully. IMAX-level clarity, with stunning precision and sharpness. Seamless camera pans and zooms with fluid, precise motion. Perfectly dynamic lighting that accentuates every shot. Rich and detailed textures with sharp, clear definition. High frame rate for buttery-smooth visuals and lifelike motion. Perfectly executed cinematic lighting with deep contrast. Exquisite focus pulls with smooth transitions between subjects. Flawless depth of field, providing perfect clarity in each layer of the frame. Masterful composition, perfectly following the rule of thirds for balance. Perfectly crisp visuals, with zero pixelation even in high-motion sequences. Beautifully lit scenes with a golden hour glow and warmth. Impeccable 4K or 8K quality for stunning resolution and clarity. Elegant, stable handheld shots with flawless fluidity. Cinematic wide shots with beautifully sharp edges and vivid colors. Perfect lighting consistency, enhancing realism in every frame. Hyper-realistic lighting and shadows that complement natural textures. Seamless transitions between lighting conditions, always smooth and gradual. Pristine visual fidelity, creating a truly immersive viewing experience.","[Style] Ultra-high definition, vibrant and crystal-clear visuals. Cinematic masterpiece with impeccable detail in every frame. Perfectly smooth motion, flowing with seamless transitions. Rich and vivid colors, beautifully balanced for an immersive experience. Flawless lighting that...",9:16,1080x1920,30.0,10s,"style, definition, crystal, visual, masterpiece, detail, frame, motion"
clips/pastry cooks team.mp4,"A cinematic, hyper-realistic animation of a vibrant strawberry tart being prepared by tiny, energetic pastry chefs in a realistic kitchen setting. The scene is full of motion: one chef is climbing a ladder with a giant strawberry in his hands, while another carefully slices a strawberry with a tiny knife. A third chef is using a small brush to glaze the fruit, while two others work together to pipe cream with a miniature pastry bag. In the background, a chef is balancing on the tart’s crust, trying not to fall while adjusting the chocolate square with an elegant logo. Another chef carries a silver tray with tiny tools, handing them out to his colleagues. The camera moves dynamically, capturing fast-paced cutting, glazing, and piping in smooth, detailed close-ups. Warm lighting enhances the glossy texture of the strawberries and the delicate crust, while occasional slow-motion moments emphasize the magic of this whimsical pastry workshop.","A cinematic, hyper-realistic animation of a vibrant strawberry tart being prepared by tiny, energetic pastry chefs in a realistic kitchen setting. The scene is full of motion: one chef is climbing a ladder with a...",9:16,1080x1920,30.0,5s,"animation, strawberry, tart, pastry, chef, kitchen, setting, scene"
clips/Elsa.mp4,"The girl blinked and smiled gently. Then she turned around slowly, her hair and ribbons flowing softly. Finally, the girl gradually transformed into snowflakes, which then fell gently. The changing, shimmering light created an ethereal feeling. The background music was soft and melodic.","The girl blinked and smiled gently. Then she turned around slowly, her hair and ribbons flowing softly. Finally, the girl gradually transformed into snowflakes, which then fell gently. The changing, shimmering light created an ethereal...",2:3,768x1152,30.0,10s,"girl, hair, ribbon, snowflake, light, feeling, background, music"
